text,intent,entities
Je pars demain de Reims à Nancy,TRIP,"[{""start"": 18, ""end"": 23, ""label"": ""Departure""}, {""start"": 26, ""end"": 31, ""label"": ""Destination""}]"
Je vais à Metz depuis Montreuil cet après-midi,TRIP,"[{""start"": 22, ""end"": 31, ""label"": ""Departure""}, {""start"": 10, ""end"": 14, ""label"": ""Destination""}]"
Quels trains sont disponibles de Orléans à Dijon,NOT_TRIP,[]
Je dois aller de Lille à Brest pour raison professionnelle,TRIP,"[{""start"": 17, ""end"": 22, ""label"": ""Departure""}, {""start"": 25, ""end"": 30, ""label"": ""Destination""}]"
lol lol lol,UNKNOWN,[]
Comment prendre un billet Rennes Allada,NOT_TRIP,[]
Je veux un billet Clermont-Ferrand Metz,NOT_TRIP,[]
Ich muss nach Frankfurt,NOT_FRENCH,[]
Avez-vous des disponibilités pour un trajet Le Havre Tchaourou,TRIP,"[{""start"": 44, ""end"": 52, ""label"": ""Departure""}, {""start"": 53, ""end"": 62, ""label"": ""Destination""}]"
Quel est le meilleur moyen pour aller de Sakété vers Le Mans,TRIP,"[{""start"": 41, ""end"": 47, ""label"": ""Departure""}, {""start"": 53, ""end"": 60, ""label"": ""Destination""}]"
Pourrais-je avoir un trajet Abomey - Strasbourg,TRIP,"[{""start"": 28, ""end"": 34, ""label"": ""Departure""}, {""start"": 37, ""end"": 47, ""label"": ""Destination""}]"
???,UNKNOWN,[]
uzww,UNKNOWN,[]
Is er een trein naar Amsterdam?,NOT_FRENCH,[]
Je me déplace la semaine prochaine de Perpignan à Paris,TRIP,"[{""start"": 38, ""end"": 47, ""label"": ""Departure""}, {""start"": 50, ""end"": 55, ""label"": ""Destination""}]"
Je voudrais réserver Limoges Besançon,NOT_TRIP,[]
Je cherche un train Nancy Dijon,NOT_TRIP,[]
wxcvbn,UNKNOWN,[]
C'est combien pour aller de Comè à Strasbourg,NOT_TRIP,[]
Horaires de train Besançon - Mulhouse,NOT_TRIP,[]
Trains disponibles Abomey → Rouen,NOT_TRIP,[]
Je rentre à Le Havre depuis Allada,TRIP,"[{""start"": 28, ""end"": 34, ""label"": ""Departure""}, {""start"": 12, ""end"": 20, ""label"": ""Destination""}]"
Trajet Nice → Ouidah,TRIP,"[{""start"": 7, ""end"": 11, ""label"": ""Departure""}, {""start"": 14, ""end"": 20, ""label"": ""Destination""}]"
Toulouse - Lyon,TRIP,"[{""start"": 0, ""end"": 8, ""label"": ""Departure""}, {""start"": 11, ""end"": 15, ""label"": ""Destination""}]"
Je vais de Mulhouse à Nice pour affaires,TRIP,"[{""start"": 11, ""end"": 19, ""label"": ""Departure""}, {""start"": 22, ""end"": 26, ""label"": ""Destination""}]"
Départ: Brest Destination: Bohicon,TRIP,"[{""start"": 8, ""end"": 13, ""label"": ""Departure""}, {""start"": 27, ""end"": 34, ""label"": ""Destination""}]"
Ich muss nach Frankfurt,NOT_FRENCH,[]
bg,UNKNOWN,[]
Lokossa Boulogne-Billancourt,TRIP,"[{""start"": 0, ""end"": 7, ""label"": ""Departure""}, {""start"": 8, ""end"": 28, ""label"": ""Destination""}]"
Grazie mille,NOT_FRENCH,[]
I need to go to Birmingham,NOT_FRENCH,[]
Est-ce que je peux réserver pour Lyon Metz,NOT_TRIP,[]
Quel est le meilleur moyen pour aller de Malanville vers Saint-Denis,TRIP,"[{""start"": 41, ""end"": 51, ""label"": ""Departure""}, {""start"": 57, ""end"": 68, ""label"": ""Destination""}]"
Un billet pour Bohicon Besançon,NOT_TRIP,[]
Comment aller de Clermont-Ferrand à Nikki,TRIP,"[{""start"": 17, ""end"": 33, ""label"": ""Departure""}, {""start"": 36, ""end"": 41, ""label"": ""Destination""}]"
Quels sont les horaires de train pour Parakou Villeurbanne,NOT_TRIP,[]
Pouvez-vous me transférer le document,NOT_TRIP,[]
Y a-t-il encore de la place Villeurbanne - Saint-Étienne,NOT_TRIP,[]
Pouvez-vous me donner un billet de Amiens à Besançon,NOT_TRIP,[]
Preciso ir a Braga,NOT_FRENCH,[]
Je me déplace la semaine prochaine de Villeurbanne à Dijon,TRIP,"[{""start"": 38, ""end"": 50, ""label"": ""Departure""}, {""start"": 53, ""end"": 58, ""label"": ""Destination""}]"
Je cherche un train Annecy Cotonou,NOT_TRIP,[]
Pourrais-je avoir un trajet Limoges - Reims,TRIP,"[{""start"": 28, ""end"": 35, ""label"": ""Departure""}, {""start"": 38, ""end"": 43, ""label"": ""Destination""}]"
J'ai besoin d'un compte-rendu,NOT_TRIP,[]
Gibt es einen Zug nach Berlin?,NOT_FRENCH,[]
Puis-je commander un aller simple pour Bordeaux Amiens,NOT_TRIP,[]
Comment prendre un billet Bohicon Kétou,NOT_TRIP,[]
C'est possible d'aller de Kandi à Reims,TRIP,"[{""start"": 26, ""end"": 31, ""label"": ""Departure""}, {""start"": 34, ""end"": 39, ""label"": ""Destination""}]"
Quel est le prix du billet Angers Metz,NOT_TRIP,[]
Je souhaite obtenir mon trajet Saint-Denis vers Rennes,TRIP,"[{""start"": 31, ""end"": 42, ""label"": ""Departure""}, {""start"": 48, ""end"": 54, ""label"": ""Destination""}]"
Je souhaite obtenir mon trajet Le Havre vers Montpellier,TRIP,"[{""start"": 31, ""end"": 39, ""label"": ""Departure""}, {""start"": 45, ""end"": 56, ""label"": ""Destination""}]"
Quel est le prix du billet Montpellier Tours,NOT_TRIP,[]
Les horaires pour aller de Limoges à Rouen,NOT_TRIP,[]
Ich muss nach Frankfurt,NOT_FRENCH,[]
Je dois aller de Caen à Reims pour raison professionnelle,TRIP,"[{""start"": 17, ""end"": 21, ""label"": ""Departure""}, {""start"": 24, ""end"": 29, ""label"": ""Destination""}]"
I would like a ticket to Manchester,NOT_FRENCH,[]
Pourrais-je avoir un trajet Djougou - Lille,TRIP,"[{""start"": 28, ""end"": 35, ""label"": ""Departure""}, {""start"": 38, ""end"": 43, ""label"": ""Destination""}]"
Je veux un billet Allada Cotonou,NOT_TRIP,[]
Pourrais-je avoir un trajet Mulhouse - Boulogne-Billancourt,TRIP,"[{""start"": 28, ""end"": 36, ""label"": ""Departure""}, {""start"": 39, ""end"": 59, ""label"": ""Destination""}]"
Ich möchte ein Ticket nach München,NOT_FRENCH,[]
Y a-t-il encore de la place Comè - Caen,NOT_TRIP,[]
Pouvez-vous me rappeler demain,NOT_TRIP,[]
Départ: Toulouse Destination: Villeurbanne,TRIP,"[{""start"": 8, ""end"": 16, ""label"": ""Departure""}, {""start"": 30, ""end"": 42, ""label"": ""Destination""}]"
Je compte partir de Nancy vers Lyon,TRIP,"[{""start"": 20, ""end"": 25, ""label"": ""Departure""}, {""start"": 31, ""end"": 35, ""label"": ""Destination""}]"
Buongiorno,NOT_FRENCH,[]
hein?,UNKNOWN,[]
Je vais de Brest à Caen pour affaires,TRIP,"[{""start"": 11, ""end"": 16, ""label"": ""Departure""}, {""start"": 19, ""end"": 23, ""label"": ""Destination""}]"
Puis-je commander un aller simple pour Saint-Denis Le Mans,NOT_TRIP,[]
Avez-vous des places disponibles pour Clermont-Ferrand Limoges,NOT_TRIP,[]
C'est combien pour aller de Nantes à Reims,NOT_TRIP,[]
Je pars de Boulogne-Billancourt vers Toulon pour voir ma famille,TRIP,"[{""start"": 11, ""end"": 31, ""label"": ""Departure""}, {""start"": 37, ""end"": 43, ""label"": ""Destination""}]"
Quels sont les horaires Lyon Bohicon,NOT_TRIP,[]
Pouvez-vous me donner les horaires Dijon Nikki,NOT_TRIP,[]
Pouvez-vous me transférer le document,NOT_TRIP,[]
quoi?,UNKNOWN,[]
Je pars de Nantes vers Dijon pour voir ma famille,TRIP,"[{""start"": 11, ""end"": 17, ""label"": ""Departure""}, {""start"": 23, ""end"": 28, ""label"": ""Destination""}]"
Je dois me rendre de Nice à Caen,TRIP,"[{""start"": 21, ""end"": 25, ""label"": ""Departure""}, {""start"": 28, ""end"": 32, ""label"": ""Destination""}]"
Je désire un aller-retour de Dijon vers Perpignan,NOT_TRIP,[]
Les horaires pour aller de Ouidah à Kétou,NOT_TRIP,[]
Comment puis-je vous contacter,NOT_TRIP,[]
Quanto costa andare a Firenze?,NOT_FRENCH,[]
Avez-vous des disponibilités pour un trajet Bordeaux Tchaourou,TRIP,"[{""start"": 44, ""end"": 52, ""label"": ""Departure""}, {""start"": 53, ""end"": 62, ""label"": ""Destination""}]"
Devo andare a Venezia,NOT_FRENCH,[]
Trajet de Orléans à Mulhouse pour raison personnelle,TRIP,"[{""start"": 10, ""end"": 17, ""label"": ""Departure""}, {""start"": 20, ""end"": 28, ""label"": ""Destination""}]"
Félicitations pour votre travail,NOT_TRIP,[]
À quelle heure part le train de Reims à Argenteuil,NOT_TRIP,[]
...........,UNKNOWN,[]
Je compte partir de Lyon vers Tours,TRIP,"[{""start"": 20, ""end"": 24, ""label"": ""Departure""}, {""start"": 30, ""end"": 35, ""label"": ""Destination""}]"
Avez-vous des disponibilités pour un trajet Montpellier Clermont-Ferrand,TRIP,"[{""start"": 44, ""end"": 55, ""label"": ""Departure""}, {""start"": 56, ""end"": 72, ""label"": ""Destination""}]"
Avez-vous des trains pour Toulouse Parakou,NOT_TRIP,[]
lol lol lol,UNKNOWN,[]
Je dois effectuer le trajet Annecy Ouidah,TRIP,"[{""start"": 28, ""end"": 34, ""label"": ""Departure""}, {""start"": 35, ""end"": 41, ""label"": ""Destination""}]"
Gibt es einen Zug nach Berlin?,NOT_FRENCH,[]
Strasbourg → Lokossa,TRIP,"[{""start"": 0, ""end"": 10, ""label"": ""Departure""}, {""start"": 13, ""end"": 20, ""label"": ""Destination""}]"
Há um comboio para Lisboa?,NOT_FRENCH,[]
Trajet de Villeurbanne à Annecy pour raison personnelle,TRIP,"[{""start"": 10, ""end"": 22, ""label"": ""Departure""}, {""start"": 25, ""end"": 31, ""label"": ""Destination""}]"
Quanto costa andare a Firenze?,NOT_FRENCH,[]
Je pars demain de Amiens à Natitingou,TRIP,"[{""start"": 18, ""end"": 24, ""label"": ""Departure""}, {""start"": 27, ""end"": 37, ""label"": ""Destination""}]"
Je vais à Abomey depuis Metz cet après-midi,TRIP,"[{""start"": 24, ""end"": 28, ""label"": ""Departure""}, {""start"": 10, ""end"": 16, ""label"": ""Destination""}]"
¿Cuánto cuesta ir a Valencia?,NOT_FRENCH,[]
Aix-en-Provence - Caen,TRIP,"[{""start"": 0, ""end"": 15, ""label"": ""Departure""}, {""start"": 18, ""end"": 22, ""label"": ""Destination""}]"
¿Cuánto cuesta ir a Valencia?,NOT_FRENCH,[]
Prix du trajet Toulouse Allada,NOT_TRIP,[]
C'est combien pour aller de Natitingou à Nîmes,NOT_TRIP,[]
de Mulhouse vers Villeurbanne,TRIP,"[{""start"": 3, ""end"": 11, ""label"": ""Departure""}, {""start"": 17, ""end"": 29, ""label"": ""Destination""}]"
Is er een trein naar Amsterdam?,NOT_FRENCH,[]
J'aimerais aller de Nikki à Cotonou,TRIP,"[{""start"": 20, ""end"": 25, ""label"": ""Departure""}, {""start"": 28, ""end"": 35, ""label"": ""Destination""}]"
J'ai besoin d'un compte-rendu,NOT_TRIP,[]
À quelle heure y a-t-il des trains de Malanville à Nîmes,NOT_TRIP,[]
uzww,UNKNOWN,[]
Tarifs pour Comè Kétou,NOT_TRIP,[]
Quanto costa andare a Firenze?,NOT_FRENCH,[]
Trains disponibles Le Havre → Limoges,NOT_TRIP,[]
Buenos días,NOT_FRENCH,[]
Nice Montpellier,TRIP,"[{""start"": 0, ""end"": 4, ""label"": ""Departure""}, {""start"": 5, ""end"": 16, ""label"": ""Destination""}]"
Félicitations pour votre travail,NOT_TRIP,[]
De Rouen jusqu'à Allada,TRIP,"[{""start"": 3, ""end"": 8, ""label"": ""Departure""}, {""start"": 17, ""end"": 23, ""label"": ""Destination""}]"
Je dois aller de Orléans à Malanville pour raison professionnelle,TRIP,"[{""start"": 17, ""end"": 24, ""label"": ""Departure""}, {""start"": 27, ""end"": 37, ""label"": ""Destination""}]"
J'aimerais aller de Caen à Lyon,TRIP,"[{""start"": 20, ""end"": 24, ""label"": ""Departure""}, {""start"": 27, ""end"": 31, ""label"": ""Destination""}]"
Pouvez-vous me donner un billet de Allada à Lyon,NOT_TRIP,[]
Je veux aller de Paris à Abomey,TRIP,"[{""start"": 17, ""end"": 22, ""label"": ""Departure""}, {""start"": 25, ""end"": 31, ""label"": ""Destination""}]"
Je désire un trajet de Kandi à Mulhouse,TRIP,"[{""start"": 23, ""end"": 28, ""label"": ""Departure""}, {""start"": 31, ""end"": 39, ""label"": ""Destination""}]"
Je voyage ce soir de Porto-Novo vers Pobè,TRIP,"[{""start"": 21, ""end"": 31, ""label"": ""Departure""}, {""start"": 37, ""end"": 41, ""label"": ""Destination""}]"
Saint-Denis → Nîmes,TRIP,"[{""start"": 0, ""end"": 11, ""label"": ""Departure""}, {""start"": 14, ""end"": 19, ""label"": ""Destination""}]"
Ich möchte ein Ticket nach München,NOT_FRENCH,[]
Je voyage ce soir de Amiens vers Savé,TRIP,"[{""start"": 21, ""end"": 27, ""label"": ""Departure""}, {""start"": 33, ""end"": 37, ""label"": ""Destination""}]"
depuis Nantes jusqu'à Nikki,TRIP,"[{""start"": 7, ""end"": 13, ""label"": ""Departure""}, {""start"": 22, ""end"": 27, ""label"": ""Destination""}]"
J'aimerais aller de Brest à Djougou,TRIP,"[{""start"": 20, ""end"": 25, ""label"": ""Departure""}, {""start"": 28, ""end"": 35, ""label"": ""Destination""}]"
Je veux aller de Dijon à Le Havre,TRIP,"[{""start"": 17, ""end"": 22, ""label"": ""Departure""}, {""start"": 25, ""end"": 33, ""label"": ""Destination""}]"
Puis-je commander un aller simple pour Marseille Nancy,NOT_TRIP,[]
Bassila / Rouen,TRIP,"[{""start"": 0, ""end"": 7, ""label"": ""Departure""}, {""start"": 10, ""end"": 15, ""label"": ""Destination""}]"
Je dois aller de Limoges à Rennes pour raison professionnelle,TRIP,"[{""start"": 17, ""end"": 24, ""label"": ""Departure""}, {""start"": 27, ""end"": 33, ""label"": ""Destination""}]"
What time does the train leave?,NOT_FRENCH,[]
Il faut que j'aille de Montpellier à Tchaourou,TRIP,"[{""start"": 23, ""end"": 34, ""label"": ""Departure""}, {""start"": 37, ""end"": 46, ""label"": ""Destination""}]"
Bonne journée,NOT_TRIP,[]
Je voudrais confirmer ma réunion,NOT_TRIP,[]
Je dois aller de Metz à Aix-en-Provence pour raison professionnelle,TRIP,"[{""start"": 17, ""end"": 21, ""label"": ""Departure""}, {""start"": 24, ""end"": 39, ""label"": ""Destination""}]"
Il reste des places pour Bassila Rouen,NOT_TRIP,[]
de Paris à Nikki,TRIP,"[{""start"": 3, ""end"": 8, ""label"": ""Departure""}, {""start"": 11, ""end"": 16, ""label"": ""Destination""}]"
Quero um bilhete para Porto,NOT_FRENCH,[]
de Caen vers Strasbourg,TRIP,"[{""start"": 3, ""end"": 7, ""label"": ""Departure""}, {""start"": 13, ""end"": 23, ""label"": ""Destination""}]"
Guten Tag,NOT_FRENCH,[]
Horaires de train Toulouse - Lille,NOT_TRIP,[]
grrr,UNKNOWN,[]
De Pobè à Limoges,TRIP,"[{""start"": 3, ""end"": 7, ""label"": ""Departure""}, {""start"": 10, ""end"": 17, ""label"": ""Destination""}]"
bg,UNKNOWN,[]
Amiens / Nice,TRIP,"[{""start"": 0, ""end"": 6, ""label"": ""Departure""}, {""start"": 9, ""end"": 13, ""label"": ""Destination""}]"
Je désire un trajet de Bordeaux à Metz,TRIP,"[{""start"": 23, ""end"": 31, ""label"": ""Departure""}, {""start"": 34, ""end"": 38, ""label"": ""Destination""}]"
Je souhaite me déplacer de Comè à Porto-Novo,TRIP,"[{""start"": 27, ""end"": 31, ""label"": ""Departure""}, {""start"": 34, ""end"": 44, ""label"": ""Destination""}]"
C'est combien pour aller de Besançon à Villeurbanne,NOT_TRIP,[]
Thank you very much,NOT_FRENCH,[]
Trajet de Metz à Brest pour raison personnelle,TRIP,"[{""start"": 10, ""end"": 14, ""label"": ""Departure""}, {""start"": 17, ""end"": 22, ""label"": ""Destination""}]"
Prix du trajet Argenteuil Annecy,NOT_TRIP,[]
Je voyage ce soir de Cotonou vers Brest,TRIP,"[{""start"": 21, ""end"": 28, ""label"": ""Departure""}, {""start"": 34, ""end"": 39, ""label"": ""Destination""}]"
À quelle heure part le train de Brest à Lyon,NOT_TRIP,[]
Je compte partir de Cotonou vers Allada,TRIP,"[{""start"": 20, ""end"": 27, ""label"": ""Departure""}, {""start"": 33, ""end"": 39, ""label"": ""Destination""}]"
Can you help me find a train?,NOT_FRENCH,[]
Je voyage ce soir de Kétou vers Savé,TRIP,"[{""start"": 21, ""end"": 26, ""label"": ""Departure""}, {""start"": 32, ""end"": 36, ""label"": ""Destination""}]"
Bonne journée,NOT_TRIP,[]
de Orléans vers Le Mans,TRIP,"[{""start"": 3, ""end"": 10, ""label"": ""Departure""}, {""start"": 16, ""end"": 23, ""label"": ""Destination""}]"
Tarifs pour Perpignan Porto-Novo,NOT_TRIP,[]
Je voudrais réserver Nancy Natitingou,NOT_TRIP,[]
Prix du trajet Bohicon Nice,NOT_TRIP,[]
Puis-je commander un aller simple pour Montpellier Mulhouse,NOT_TRIP,[]
depuis Nancy jusqu'à Reims,TRIP,"[{""start"": 7, ""end"": 12, ""label"": ""Departure""}, {""start"": 21, ""end"": 26, ""label"": ""Destination""}]"
Pouvez-vous me donner un billet de Nancy à Mulhouse,NOT_TRIP,[]
Félicitations pour votre travail,NOT_TRIP,[]
lol lol lol,UNKNOWN,[]
de Annecy vers Djougou,TRIP,"[{""start"": 3, ""end"": 9, ""label"": ""Departure""}, {""start"": 15, ""end"": 22, ""label"": ""Destination""}]"
wxcvbn,UNKNOWN,[]
Je dois aller de Kétou à Brest pour raison professionnelle,TRIP,"[{""start"": 17, ""end"": 22, ""label"": ""Departure""}, {""start"": 25, ""end"": 30, ""label"": ""Destination""}]"
Comment commander un billet Lille Caen,NOT_TRIP,[]
Comment prendre un billet Kétou Tchaourou,NOT_TRIP,[]
Comment aller de Bohicon à Saint-Denis,TRIP,"[{""start"": 17, ""end"": 24, ""label"": ""Departure""}, {""start"": 27, ""end"": 38, ""label"": ""Destination""}]"
Je dois me rendre de Brest à Ouidah,TRIP,"[{""start"": 21, ""end"": 26, ""label"": ""Departure""}, {""start"": 29, ""end"": 35, ""label"": ""Destination""}]"
Vorrei un biglietto per Milano,NOT_FRENCH,[]
Je veux aller de Toulouse à Bordeaux,TRIP,"[{""start"": 17, ""end"": 25, ""label"": ""Departure""}, {""start"": 28, ""end"": 36, ""label"": ""Destination""}]"
Je vais à Dijon depuis Marseille cet après-midi,TRIP,"[{""start"": 23, ""end"": 32, ""label"": ""Departure""}, {""start"": 10, ""end"": 15, ""label"": ""Destination""}]"
De Orléans à Saint-Étienne,TRIP,"[{""start"": 3, ""end"": 10, ""label"": ""Departure""}, {""start"": 13, ""end"": 26, ""label"": ""Destination""}]"
Comment puis-je vous contacter,NOT_TRIP,[]
bla bla bla,UNKNOWN,[]
Aller de Pobè vers Dijon,TRIP,"[{""start"": 9, ""end"": 13, ""label"": ""Departure""}, {""start"": 19, ""end"": 24, ""label"": ""Destination""}]"
Há um comboio para Lisboa?,NOT_FRENCH,[]
¿Hay un tren a Barcelona?,NOT_FRENCH,[]
Horaires de train Caen - Besançon,NOT_TRIP,[]
Orléans - Besançon,TRIP,"[{""start"": 0, ""end"": 7, ""label"": ""Departure""}, {""start"": 10, ""end"": 18, ""label"": ""Destination""}]"
Quel est le prix du billet Allada Nantes,NOT_TRIP,[]
Trajet de Lokossa à Angers pour raison personnelle,TRIP,"[{""start"": 10, ""end"": 17, ""label"": ""Departure""}, {""start"": 20, ""end"": 26, ""label"": ""Destination""}]"
Thank you very much,NOT_FRENCH,[]
Je compte partir de Natitingou vers Saint-Étienne,TRIP,"[{""start"": 20, ""end"": 30, ""label"": ""Departure""}, {""start"": 36, ""end"": 49, ""label"": ""Destination""}]"
I would like a ticket to Manchester,NOT_FRENCH,[]
Félicitations pour votre travail,NOT_TRIP,[]
Je me déplace la semaine prochaine de Bordeaux à Kétou,TRIP,"[{""start"": 38, ""end"": 46, ""label"": ""Departure""}, {""start"": 49, ""end"": 54, ""label"": ""Destination""}]"
Je compte partir de Nice vers Abomey,TRIP,"[{""start"": 20, ""end"": 24, ""label"": ""Departure""}, {""start"": 30, ""end"": 36, ""label"": ""Destination""}]"
I would like a ticket to Manchester,NOT_FRENCH,[]
Il reste des places pour Metz Rouen,NOT_TRIP,[]
azertyuiop,UNKNOWN,[]
Est-ce que je peux réserver pour Le Mans Bordeaux,NOT_TRIP,[]
Sakété - Savé,TRIP,"[{""start"": 0, ""end"": 6, ""label"": ""Departure""}, {""start"": 9, ""end"": 13, ""label"": ""Destination""}]"
Y a-t-il un train Argenteuil-Bassila,NOT_TRIP,[]
Je veux aller de Bassila à Savé,TRIP,"[{""start"": 17, ""end"": 24, ""label"": ""Departure""}, {""start"": 27, ""end"": 31, ""label"": ""Destination""}]"
de Marseille vers Boulogne-Billancourt,TRIP,"[{""start"": 3, ""end"": 12, ""label"": ""Departure""}, {""start"": 18, ""end"": 38, ""label"": ""Destination""}]"
I would like a ticket to Manchester,NOT_FRENCH,[]
Je souhaite me déplacer de Orléans à Lille,TRIP,"[{""start"": 27, ""end"": 34, ""label"": ""Departure""}, {""start"": 37, ""end"": 42, ""label"": ""Destination""}]"
Je dois aller de Rouen à Parakou pour raison professionnelle,TRIP,"[{""start"": 17, ""end"": 22, ""label"": ""Departure""}, {""start"": 25, ""end"": 32, ""label"": ""Destination""}]"
bg,UNKNOWN,[]
De Villeurbanne à Limoges,TRIP,"[{""start"": 3, ""end"": 15, ""label"": ""Departure""}, {""start"": 18, ""end"": 25, ""label"": ""Destination""}]"
!!!???,UNKNOWN,[]
Je voudrais confirmer ma réunion,NOT_TRIP,[]
Je dois me rendre de Le Mans à Grenoble,TRIP,"[{""start"": 21, ""end"": 28, ""label"": ""Departure""}, {""start"": 31, ""end"": 39, ""label"": ""Destination""}]"
How much does it cost to go to Edinburgh?,NOT_FRENCH,[]
Marseille - Argenteuil,TRIP,"[{""start"": 0, ""end"": 9, ""label"": ""Departure""}, {""start"": 12, ""end"": 22, ""label"": ""Destination""}]"
Obrigado,NOT_FRENCH,[]
A que horas sai o comboio?,NOT_FRENCH,[]
Combien coûte Lyon - Saint-Denis,NOT_TRIP,[]
Obrigado,NOT_FRENCH,[]
Pourrais-je avoir un trajet Angers - Mulhouse,TRIP,"[{""start"": 28, ""end"": 34, ""label"": ""Departure""}, {""start"": 37, ""end"": 45, ""label"": ""Destination""}]"
What time does the train leave?,NOT_FRENCH,[]
!!!???,UNKNOWN,[]
de Natitingou à Aix-en-Provence,TRIP,"[{""start"": 3, ""end"": 13, ""label"": ""Departure""}, {""start"": 16, ""end"": 31, ""label"": ""Destination""}]"
Je dois me rendre de Bordeaux à Cotonou,TRIP,"[{""start"": 21, ""end"": 29, ""label"": ""Departure""}, {""start"": 32, ""end"": 39, ""label"": ""Destination""}]"
Quel est le meilleur moyen pour aller de Le Havre vers Limoges,TRIP,"[{""start"": 41, ""end"": 49, ""label"": ""Departure""}, {""start"": 55, ""end"": 62, ""label"": ""Destination""}]"
Y a-t-il encore de la place Perpignan - Rennes,NOT_TRIP,[]
Trajet de Kandi à Brest pour raison personnelle,TRIP,"[{""start"": 10, ""end"": 15, ""label"": ""Departure""}, {""start"": 18, ""end"": 23, ""label"": ""Destination""}]"
Montreuil → Mulhouse,TRIP,"[{""start"": 0, ""end"": 9, ""label"": ""Departure""}, {""start"": 12, ""end"": 20, ""label"": ""Destination""}]"
Quel est le prix du billet Natitingou Montpellier,NOT_TRIP,[]
De Aix-en-Provence à Parakou,TRIP,"[{""start"": 3, ""end"": 18, ""label"": ""Departure""}, {""start"": 21, ""end"": 28, ""label"": ""Destination""}]"
Comment commander un billet Le Havre Cotonou,NOT_TRIP,[]
Pourrais-je avoir un trajet Saint-Étienne - Clermont-Ferrand,TRIP,"[{""start"": 28, ""end"": 41, ""label"": ""Departure""}, {""start"": 44, ""end"": 60, ""label"": ""Destination""}]"
J'aimerais aller de Villeurbanne à Limoges,TRIP,"[{""start"": 20, ""end"": 32, ""label"": ""Departure""}, {""start"": 35, ""end"": 42, ""label"": ""Destination""}]"
Je vais de Comè à Orléans pour affaires,TRIP,"[{""start"": 11, ""end"": 15, ""label"": ""Departure""}, {""start"": 18, ""end"": 25, ""label"": ""Destination""}]"
Je voudrais confirmer ma réunion,NOT_TRIP,[]
Je pars demain de Malanville à Saint-Denis,TRIP,"[{""start"": 18, ""end"": 28, ""label"": ""Departure""}, {""start"": 31, ""end"": 42, ""label"": ""Destination""}]"
Natitingou Annecy,TRIP,"[{""start"": 0, ""end"": 10, ""label"": ""Departure""}, {""start"": 11, ""end"": 17, ""label"": ""Destination""}]"
Comment commander un billet Pobè Malanville,NOT_TRIP,[]
Merci pour votre aide,NOT_TRIP,[]
De Lyon jusqu'à Amiens,TRIP,"[{""start"": 3, ""end"": 7, ""label"": ""Departure""}, {""start"": 16, ""end"": 22, ""label"": ""Destination""}]"
Quels sont les horaires de train pour Metz Argenteuil,NOT_TRIP,[]
Avez-vous des places disponibles pour Comè Saint-Denis,NOT_TRIP,[]
De Caen jusqu'à Paris,TRIP,"[{""start"": 3, ""end"": 7, ""label"": ""Departure""}, {""start"": 16, ""end"": 21, ""label"": ""Destination""}]"
Je désire un trajet de Angers à Sakété,TRIP,"[{""start"": 23, ""end"": 29, ""label"": ""Departure""}, {""start"": 32, ""end"": 38, ""label"": ""Destination""}]"
Avez-vous des places disponibles pour Marseille Natitingou,NOT_TRIP,[]
Devo andare a Venezia,NOT_FRENCH,[]
Je souhaite me déplacer de Grenoble à Amiens,TRIP,"[{""start"": 27, ""end"": 35, ""label"": ""Departure""}, {""start"": 38, ""end"": 44, ""label"": ""Destination""}]"
Ik wil een ticket naar Rotterdam,NOT_FRENCH,[]
Je vais de Comè à Limoges pour affaires,TRIP,"[{""start"": 11, ""end"": 15, ""label"": ""Departure""}, {""start"": 18, ""end"": 25, ""label"": ""Destination""}]"
¿Cuánto cuesta ir a Valencia?,NOT_FRENCH,[]
Abomey - Amiens,TRIP,"[{""start"": 0, ""end"": 6, ""label"": ""Departure""}, {""start"": 9, ""end"": 15, ""label"": ""Destination""}]"
Je veux aller de Aix-en-Provence à Besançon,TRIP,"[{""start"": 17, ""end"": 32, ""label"": ""Departure""}, {""start"": 35, ""end"": 43, ""label"": ""Destination""}]"
Bom dia,NOT_FRENCH,[]
!!!???,UNKNOWN,[]
C'est possible d'aller de Strasbourg à Nantes,TRIP,"[{""start"": 26, ""end"": 36, ""label"": ""Departure""}, {""start"": 39, ""end"": 45, ""label"": ""Destination""}]"
¿Cómo llegar a Málaga?,NOT_FRENCH,[]
¿Cómo llegar a Málaga?,NOT_FRENCH,[]
What time does the train leave?,NOT_FRENCH,[]
Pouvez-vous me transférer le document,NOT_TRIP,[]
lol lol lol,UNKNOWN,[]
Merci pour votre aide,NOT_TRIP,[]
De Aix-en-Provence à Tchaourou,TRIP,"[{""start"": 3, ""end"": 18, ""label"": ""Departure""}, {""start"": 21, ""end"": 30, ""label"": ""Destination""}]"
Grazie mille,NOT_FRENCH,[]
Je veux aller de Perpignan à Nice,TRIP,"[{""start"": 17, ""end"": 26, ""label"": ""Departure""}, {""start"": 29, ""end"": 33, ""label"": ""Destination""}]"
Bom dia,NOT_FRENCH,[]
de Bohicon à Djougou,TRIP,"[{""start"": 3, ""end"": 10, ""label"": ""Departure""}, {""start"": 13, ""end"": 20, ""label"": ""Destination""}]"
bla bla bla,UNKNOWN,[]
Marseille Toulouse,TRIP,"[{""start"": 0, ""end"": 9, ""label"": ""Departure""}, {""start"": 10, ""end"": 18, ""label"": ""Destination""}]"
